canonical_id,canonical_name,normalized_name,pff_player_id,cfbd_id,combine_normalized_player,combine_cfb_player_id,combine_pfr_player_id,combine_gsis_id,colleges,college_seasons,college_seasons_count,draft_season,in_pff,in_combine,in_cfbd
tyrell-maxwell-gardner-webb-2015,Tyrell Maxwell,tyrell maxwell,31128.0,3140998,,,,,Gardner-Webb,Gardner-Webb:2014;Gardner-Webb:2015,2,2016,True,False,True
breck-ruddick-missouri-state-2015,Breck Ruddick,breck ruddick,31221.0,3908537,,,,,Missouri State,Missouri State:2015,1,2016,True,False,True
daniel-kniffin-sacramento-state-2015,Daniel Kniffin,daniel kniffin,31376.0,546921,,,,,Sacramento State,Sacramento State:2014;Sacramento State:2015,2,2016,True,False,True
brodie-lambert-missouri-state-2015,Brodie Lambert,brodie lambert,31383.0,538084,,,,,Missouri State,Missouri State:2014;Missouri State:2015,2,2016,True,False,True
sean-mcguire-western-illinois-2015,Sean McGuire,sean mcguire,31552.0,3121628,,,,,Western Illinois,Western Illinois:2015,1,2016,True,False,True
luke-wright-cincinnati-2015,Luke Wright,luke wright,31682.0,3139059,,,,,Cincinnati,Cincinnati:2015,1,2016,True,False,True
terrance-ervin-norfolk-state-2014,Terrance Ervin,terrance ervin,31721.0,3126935,,,,,Norfolk State,Norfolk State:2014,1,2015,True,False,True
jake-hubenak-texas-a-m-2015,Jake Hubenak,jacob hubenak,32201.0,550539,,,,,Texas A&M,Texas A&M:2015,1,2016,True,False,True
kurt-palandech-unlv-2015,Kurt Palandech,kurt palandech,32214.0,551230,,,,,UNLV,UNLV:2015,1,2016,True,False,True
esayah-obado-delaware-state-2015,Esayah Obado,esayah obado,32262.0,538378,,,,,Delaware State,Delaware State:2015,1,2016,True,False,True
kyle-postma-houston-2015,Kyle Postma,kyle postma,32269.0,553532,,,,,Houston,Houston:2015,1,2016,True,False,True
joel-blumenthal-northwestern-state-2015,Joel Blumenthal,joel blumenthal,32346.0,3911356,,,,,Northwestern State,Northwestern State:2015,1,2016,True,False,True
alex-thomson-wagner-2015,Alex Thomson,alexander thomson,32376.0,3913137,,,,,Wagner,Wagner:2015,1,2016,True,False,True
